fifth_place_age,fifth_place_boat,fifth_place_height,fifth_place_lane,fifth_place_motor,fifth_place_name,fifth_place_rank,fifth_place_weight,first_place_age,first_place_boat,first_place_height,first_place_lane,first_place_motor,first_place_name,first_place_rank,first_place_weight,fourth_place_age,fourth_place_boat,fourth_place_height,fourth_place_lane,fourth_place_motor,fourth_place_name,fourth_place_rank,fourth_place_weight,link,race_name,race_place,race_title,second_place_age,second_place_boat,second_place_height,second_place_lane,second_place_motor,second_place_name,second_place_rank,second_place_weight,sixth_place_age,sixth_place_boat,sixth_place_height,sixth_place_lane,sixth_place_motor,sixth_place_name,sixth_place_rank,sixth_place_weight,third_place_age,third_place_boat,third_place_height,third_place_lane,third_place_motor,third_place_name,third_place_rank,third_place_weight
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-5.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-1.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-4.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-3.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-7.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-2.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-6.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-8.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(47),56,168,4,23,品川賢次,B1,55,(47),48,167,1,16,松本浩貴,B1,52,(32),67,164,2,25,岡悠平,B2,56,https://race.kyotei.club/info/info-20201212-02-1.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(47),45,167,5,24,長野道臣,B1,54,(32),42,151,6,35,沼田大都,B2,52,(37),65,170,3,6,吉田慎二郎,B1,59
(36),49,168,6,5,鈴木峻佑,B1,52,(46),74,158,2,37,伊藤誠二,A1,54,(36),35,167,4,20,岡村仁,A2,55,https://race.kyotei.club/info/info-20201212-02-3.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(37),68,169,5,22,鈴木勝博,A1,52,(36),55,170,1,30,近藤友宝,B1,56,(51),51,163,3,13,渡邉睦広,A1,53
(38),33,167,5,8,籾山佳岳,B1,53,(39),60,162,1,4,荒田泰明,B1,52,(49),63,164,2,26,中村守成,B1,53,https://race.kyotei.club/info/info-20201212-02-2.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(52),28,162,4,28,中里英夫,A1,53,(49),43,,6,39,田中勇輔,B2,52,(55),70,159,3,34,三品隆浩,B1,54
(49),25,165,5,38,谷本幸司,B1,51,(50),16,159,6,33,河合三弘,A2,52,(46),77,165,3,32,牧宏次,A2,53,https://race.kyotei.club/info/info-20201212-02-5.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(47),38,167,1,3,伯母芳恒,A2,55,(46),46,166,2,31,安達裕樹,A1,53,(35),40,162,4,12,伊藤喜智,B1,52
(37),23,165,5,49,亀山雅幸,A2,52,(42),39,165,1,11,杉江浩明,B1,50,(55),62,167,4,63,池田雷太,B1,54,https://race.kyotei.club/info/info-20201212-02-4.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(46),58,165,3,19,久田武,A2,53,(55),21,167,2,29,山田亮太,A2,52,(32),41,162,6,21,島田賢人,A2,56
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-10.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-11.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(43),32,164,1,2,今坂晃広,A2,52,(39),60,162,3,4,荒田泰明,B1,52,(41),13,160,2,27,野末智一,B1,50,https://race.kyotei.club/info/info-20201212-02-6.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(43),75,168,5,15,鋤柄貴俊,B1,52,(41),67,164,4,25,岡悠平,B2,56,(44),72,167,6,7,中澤和志,A1,52
(32),34,163,3,1,武藤直志,B1,57,(40),44,165,1,64,梶野学志,A1,52,(47),45,167,4,24,長野道臣,B1,54,https://race.kyotei.club/info/info-20201212-02-7.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(34),55,170,2,30,近藤友宝,B1,56,(47),43,,5,39,田中勇輔,B2,52,(53),31,165,6,18,渡邊哲也,B1,54
(36),49,168,3,5,鈴木峻佑,B1,52,(47),73,169,5,17,濱野谷憲吾,A1,56,(37),23,165,2,49,亀山雅幸,A2,52,https://race.kyotei.club/info/info-20201212-02-8.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(50),36,165,4,9,齋藤和政,B1,53,(37),63,164,1,26,中村守成,B1,53,(37),65,170,6,6,吉田慎二郎,B1,59
(44),72,167,3,7,中澤和志,A1,52,(37),68,169,2,22,鈴木勝博,A1,52,(49),29,160,4,40,大塚浩二,B1,52,https://race.kyotei.club/info/info-20201212-02-10.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(41),21,167,1,29,山田亮太,A2,52,(49),38,167,5,3,伯母芳恒,A2,55,(38),33,167,6,8,籾山佳岳,B1,53
(29),71,170,3,14,伏見俊介,A2,54,(42),61,169,1,65,古川誠之,A2,55,(46),77,165,6,32,牧宏次,A2,53,https://race.kyotei.club/info/info-20201212-02-9.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(41),26,161,2,10,桐本康臣,A1,55,(46),39,165,5,11,杉江浩明,B1,50,(47),48,167,4,16,松本浩貴,B1,52
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-01-9.html,,,第53回サンケイスポーツ杯ドラキリュウ男女W優勝戦 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(46),58,165,6,19,久田武,A2,53,(51),51,163,1,13,渡邉睦広,A1,53,(41),27,162,2,36,後藤陽介,B1,56,https://race.kyotei.club/info/info-20201212-02-11.html,戸田,戸田,ボートピア岡部カップ開設19周年記念 [第2日],(40),44,165,5,64,梶野学志,A1,52,(41),13,160,4,27,野末智一,B1,50,(37),46,166,3,31,安達裕樹,A1,53
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-03-3.html,,,創刊60周年記念第39回東京スポーツ杯 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-03-1.html,,,創刊60周年記念第39回東京スポーツ杯 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-03-9.html,,,創刊60周年記念第39回東京スポーツ杯 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-03-6.html,,,創刊60周年記念第39回東京スポーツ杯 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-03-2.html,,,創刊60周年記念第39回東京スポーツ杯 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
